region,province,city,complete_address,owner_ship,name_of_clinic,no._of_station,head_of_the_facility,contact_number,e_mail_address,validity,remarks,mapping_address,lat,lng,current_distance,gmaps_url,index
BICOL,CAMARINES SUR,Naga City,"3B M. Plaza, Roxas Ave., Diversion Road, Triangulo, Naga City, Camarines Sur",PVT,BICOL RENAL CARE ASSOCIATES CORP.,14,Dr. Leslie A. Yap,(054) 4708112,bicolrenalcarecenter@gmail.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"3B M. Plaza, Roxas Ave., Diversion Road, Triangulo, Naga City, Camarines Sur",13.6162302,123.1958885,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,256.0
BICOL,CAMARINES SUR,Naga City,"BAHC-Pedro Olivan Medical Arts Bldg., CBD II, Brgy. Triangulo II, Naga City",PVT,"NAGA HEMODIALYSIS CENTER, INC.",10,Dr. Rizalina Rosales-Ramos,(054) 472 5542,mariantheresa30@yahoo.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"BAHC-Pedro Olivan Medical Arts Bldg., CBD II, Brgy. Triangulo II, Naga City",13.6184839,123.186439,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,257.0
BICOL,CAMARINES SUR,Naga City,"Naga City Health Bldg., Concepcion Peque�a, Naga City, Camarines Sur",PVT,"NEPHRO SYNERGIES, INC.",14,Dr. Josephine V. Bonos,0971 5731694,nephrosyn.naga@yahoo.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"Naga City Health Bldg., Concepcion Peque�a, Naga City, Camarines Sur",13.62118,123.20133,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,258.0
BICOL,CAMARINES SUR,Naga City,"#18 Magsaysay Avenue, Concepcion Peque�a, Naga City, Camarines Sur",PVT,OPTIMUM KIDNEY CARE SOLUTIONS INC.,8,Dr. Josephine V. Bonos,(054) 871 3971,optimumkidneycaresolutionsinc@gmail.com,"Jan. 1, 2021  to
Dec. 31, 2023",NaN,"#18 Magsaysay Avenue, Concepcion Peque�a, Naga City, Camarines Sur",13.6238129,123.2009117,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,259.0
BICOL,CAMARINES SUR,Naga City,"Nolo Priceton St., City Heights Subd., Concepcion Peque�a. Naga City, Camarines Sur",PVT,THE JESUS HERNANDEZ DIALYSIS CENTER (TJHDC),6,Dr. Cherie Villamora,054-2050542,NaN,"Jan. 1, 2021  to
Dec. 31, 2023",NaN,"Nolo Priceton St., City Heights Subd., Concepcion Peque�a. Naga City, Camarines Sur",13.6234561,123.2005479,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,260.0
BICOL,MASBATE,NaN,"National Road, Brgy. Tugbo, Masbate",PVT,RENAL HEALTH AND DIALYSIS CARE CENTER,7,Dr. Chona Tagayuna-Dela Pena,(056) 333 0370,5400renalhealth@gmail.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"National Road, Brgy. Tugbo, Masbate",12.3502743,123.6396679,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,261.0
BICOL,SORSOGON,NaN,"Bonifacio St., Luna Candol, Gubat, Sorsogon",PVT,SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICE COOPERATIVE.,4,"Dr. Irwyn Francis
R. Mortel",0915 2327789,smmg_hdgubat@yahoo.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"Bonifacio St., Luna Candol, Gubat, Sorsogon",12.9202574,124.1207476,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,262.0
BICOL,SORSOGON,NaN,"Gerona St., Zone 3, Bulan, Sorsogon",PVT,SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH COOPERATIVE,5,Dr. Joy Galino- Lacerna,0956-820-1078,mmgmedicalplazahdu2@gmail.com,"Feb. 5, 2020 to
Dec. 31, 2022",NaN,"Gerona St., Zone 3, Bulan, Sorsogon",12.9738379,124.0036824,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,264.0
BICOL,SORSOGON,Sorsogon City,"501 Alegre St., Balogo, Sorsogon City.
Sorsogon",PVT,"METRO HEALTH LABORATORY AND MEDICAL SERVICES, INC.",9,Dr. Dorothea Farah Dorion-Jarabo,(056) 421 5123,NaN,"Jan. 1, 2021  to
Dec. 31, 2023",NaN,"501 Alegre St., Balogo, Sorsogon City.
Sorsogon",12.9729131,124.0061477,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,265.0
BICOL,SORSOGON,Sorsogon City,"Garcia St., Bgy. Sulucan, Sorsogon City",PVT,SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH COOPERATIVE,5,Dr. Joy Galino- Lacerna,0915-218-2098,mmgmedicalplazahdul@gmail.com,"Feb. 5, 2020 to
Dec. 31, 2022",NaN,"Garcia St., Bgy. Sulucan, Sorsogon City",12.9730635,124.0063155,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,266.0
WESTERN VISAYAS,ILOILO,Iloilo City,"Unit 2,4 & 27 G/F City Time Square Benigno Aquino Ave., Brgy. San Rafael Mandurriao, Iloilo City, Iloilo",PVT,"CENTER FOR RENAL REPLACEMENT THERAPY, INC.
(new)",16,Dr. Annia Rae Nicolasora,9171704266,info@crrti.com,"Aug. 15, 2021 to
Dec. 31, 2023",NaN,"Unit 2,4 & 27 G/F City Time Square Benigno Aquino Ave., Brgy. San Rafael Mandurriao, Iloilo City, Iloilo",10.7104691,122.5543589,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,267.0
WESTERN VISAYAS,ILOILO,Iloilo City,"78 Hechanova St., Brgy. Nabitasan, Lapaz, Iloilo City",PVT,FREMONT RENAL CARE AND MEDICAL CLINIC,16,Dr. Ethel D. Cordero,033-5094164,freemontdialysiscenter@yahoo.com,"Jan. 1, 2021  to
Dec. 31, 2023",NaN,"78 Hechanova St., Brgy. Nabitasan, Lapaz, Iloilo City",10.7039421,122.5620208,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,268.0
WESTERN VISAYAS,ILOILO,Iloilo City,"Uy-Bico Bldg., Yulo St.B191:D194, Iloilo City",PVT,"HARTMAN DIALYSIS CENTER, INC.",23,Dr. Rey A. Isidro,"033-
3275767/099895
98003",hartmandialysiscenterinc@yahoo.com,"Jan. 1, 2021  to
Dec. 31, 2023",NaN,"Uy-Bico Bldg., Yulo St.B191:D194, Iloilo City",10.6978711,122.5701012,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,269.0
WESTERN VISAYAS,ILOILO,Iloilo City,"Brgy. San Agustin, Iloilo City",PVT,"M-3 DIALYSIS CENTER, INC",20,Dr. Agnes Jean M. Villafor,033-5099760,m3dci.hr@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Brgy. San Agustin, Iloilo City",10.7001134,122.5634341,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,270.0
WESTERN VISAYAS,ILOILO,Iloilo City,"GF Units A16-A18
Festive Walk Parade 1 - B, Iloilo Business Park, Brgy. Taft North, Mandurriao, Iloilo City",PVT,"MDSS CROSSWAY KIDNEY CARE, INC. (new)",20,Dr. Marie Hazel Ivy Mueno,NaN,crosswaykidneycare@gmail.com,"Dec. 6, 2021 to
Dec. 2023",transfer of site,"GF Units A16-A18
Festive Walk Parade 1 - B, Iloilo Business Park, Brgy. Taft North, Mandurriao, Iloilo City",10.7176851,122.5480038,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,271.0
WESTERN VISAYAS,ILOILO,Iloilo City,"Donato Pison Avenue, Brgy. San Rafael, Mandurriao, Iloilo City",PVT,MEDICUS HEALTHCARE PLAZA HEMODIALYSIS CENTER,15,Dr. Maria Kristina G.Almonte,9171825700,dialysis.mci@medicus.com,"Jan.1, 2022 to
Dec.31, 2024",NaN,"Donato Pison Avenue, Brgy. San Rafael, Mandurriao, Iloilo City",10.7069075,122.547782,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,272.0
WESTERN VISAYAS,ILOILO,Iloilo City,"Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo City",PVT,NEFRON DIALYSIS CENTER,12,Dr Joel Advincula,"033-
3115508/094521
76611",nefrondialysiscenter2019@yahoo.com,"Jan.1, 2022 to
Dec.31, 2024",NaN,"Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo City",11.104215,122.6441665,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,273.0
WESTERN VISAYAS,ILOILO,Iloilo City,"The Medical City-Iloilo, Locsin St., Molo, Iloilo City",PVT,"NEPHRO SYNERGIES, INC.",13,Dr. Maria Bernadeth I. Eslaban,"033-5001000 loc.
50040",nephrosynergies.tmci@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"The Medical City-Iloilo, Locsin St., Molo, Iloilo City",10.6995497,122.5427714,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,275.0
WESTERN VISAYAS,ILOILO,Iloilo City,"Dungon A Jaro, Iloilo City, Iloilo",PVT,"RENAL SPECIALTY, INC",13,Dr. Ma. Daylinda A. Chung,033-323231,renalspecialtydungon@gmail.com,"Jan.1, 2022-Dec. 31, 2024",NaN,"Dungon A Jaro, Iloilo City, Iloilo",10.726734,122.5482338,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,276.0
WESTERN VISAYAS,ILOILO,Iloilo City,"corner E.Lopez- Javellana St., Bgy San Jose, Iloilo City",PVT,RENAL SPECIALTY INC.,16,Dr. Rey Isidto,"9190659747/033-
3233820",rsijavz_18@yahoo.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"corner E.Lopez- Javellana St., Bgy San Jose, Iloilo City",10.7174849,122.5630514,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,277.0
WESTERN VISAYAS,ILOILO,Iloilo City,"Lopez Jaenaa, East Baluarte, Iloilo City, Iloilo",PVT,The USWAG ILOILO DIALYSIS CENTER (new),3,Dr. Marie Hazel Ivy Mue�o,033-3325593,NaN,"Dec. 10, 2021 to
Dec. 31, 2023",NaN,"Lopez Jaenaa, East Baluarte, Iloilo City, Iloilo",10.6926571,122.5475246,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,278.0
WESTERN VISAYAS,ILOILO,Passi City,"3rd Floor, R&T Bldg., Corner Commonwealth Drive & Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo",PVT,"FRONTHUB DIALYSIS CENTER
(new)",10,Dr. Annia Rae Nicolasora,"033-5022049 /
09255223396",fronthubdialysiscenter@gmail.com,"July 22, 2021 to
Dec. 31, 2023",NaN,"3rd Floor, R&T Bldg., Corner Commonwealth Drive & Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo",11.104215,122.6441665,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,279.0
WESTERN VISAYAS,CAPIZ,Roxas City,"Tambis St., Brgy. Tiza, Roxas City, Capiz",PVT,D & E DIALYSIS CENTER,6,Marie Hazel Ivy Mirasol Mue�o,036-6205639,d.edialysiscenter@g.mail.com,"Jan. 1, 2021  to
Dec. 31, 2023",NaN,"Tambis St., Brgy. Tiza, Roxas City, Capiz",11.5756199,122.7611957,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,280.0
WESTERN VISAYAS,CAPIZ,Roxas City,"Arnaldo Boulevard, Brgy. Baybay, Roxas City, Capiz",PVT,PHOENICIAN DIALYSIS CENTERS (new),10,Dr. Marianne Diaz- Belonio,"036-
5201455/091770
10090",phoeniciandialysiscenters@gmail.com,"May 24, 2021 to
Dec. 31, 2023",NaN,"Arnaldo Boulevard, Brgy. Baybay, Roxas City, Capiz",11.5990524,122.7454281,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,281.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"Tindalo-Lopez Jaena Sts., Brgy. Villamonte, Bacolod City, Negros Occidental",PVT,"M-3 DIALYSIS CENTER, INC",32,Dr. Reynold I. iledan,034-702325,castronuuevojay0420@gmail.com,"Jan. 1, 2020  to
Dec. 31, 2022",NaN,"Tindalo-Lopez Jaena Sts., Brgy. Villamonte, Bacolod City, Negros Occidental",10.6693955,122.9619554,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,282.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"Nord Medical Hub, BS Aquino Drive, Brgy.
Villamonte, Bacolod city, Negros Occidental",PVT,"M-3 DIALYSIS CENTER, INC.",21,Dr. Reynold I. Iledan,034-4452729,m3dci.hr@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Nord Medical Hub, BS Aquino Drive, Brgy.
Villamonte, Bacolod city, Negros Occidental",10.6768182,122.9608319,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,283.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"Door 106-109, 204-207
Vecino Bldg., Lacson St., Bacolod City",PVT,"NEPHRO GROUP DIALYSIS CENTER, INC (new)",15,Dr. Maricris B. Araneta,9619062724,nephrogroupbacolod@gmail.com,"May 5, 2021 to
Dec. 31, 2023",NaN,"Door 106-109, 204-207
Vecino Bldg., Lacson St., Bacolod City",10.654613,122.944646,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,284.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"3rd St. Lacson, Brgy. 17, Bacolod City, Negros Occidental",PVT,"PREMIER NEPHRO CARE SYSTEM, INC.",20,"Dr. Gil N. Octaviano, Jr., CEO",9950741374,pncsiofficial2020@gmail.com,"Oct. 7, 2020 to
Dec. 31, 2022",NaN,"3rd St. Lacson, Brgy. 17, Bacolod City, Negros Occidental",10.6741212,122.9522325,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,286.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"3rd- Lacson St., Brgy. 17, Bacolod City, Negros Occidental",PVT,"RENAL THERAPY SOLUTIONS,
INC. (new)",20,"Dr. Ma. Clarideth
O. Guanzon, Head","0928-502-6294 /
0928-502-6294",michaelbernabe.rtsi@gmail.com,"Nov. 18, 2021 to
Dec. 31, 2023",NaN,"3rd- Lacson St., Brgy. 17, Bacolod City, Negros Occidental",10.6737541,122.9520651,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,287.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"SM  City (South Wing), Luzuriaga St., Brgy. 12, Bacolod City, Negros Occidental",PVT,"THE RIVERSIDE MEDICAL CENTER, INC.",11,"Dr, Alvin JayD. Parreno","034-
4354052/5532",lic_dpotmh16@yahoo.com,"Jan 1, 2020 to
Dec. 31, 2022",NaN,"SM  City (South Wing), Luzuriaga St., Brgy. 12, Bacolod City, Negros Occidental",10.6666853,122.9477762,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,288.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Cadiz City,"Magsaysay St, Zone 3, Cadiz City, Negros Occidental",PVT,"CADIZ DIALYSIS HUB, INC.",12,Dr. Myla Antonette King,"9398958390/090
82321617",cadizdialysis19@yahoo.com,"Jan.1, 2022 to
Dec.31, 2024",NaN,"Magsaysay St, Zone 3, Cadiz City, Negros Occidental",10.9541114,123.3078105,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,289.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Kabankalan City,"National Highway, 2014 JC, Sitio Mohon,   Brgy. Binicuil, Kabankalan City, Negros Occidental",PVT,"ARCHANGEL RAPHAEL DIALYSIS CENTER, INC",6,"Dr. Jeffty Castillon, FPCP","4715007/092363
28531",ArchanghelRaphaelDialysis@yahoo.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"National Highway, 2014 JC, Sitio Mohon,   Brgy. Binicuil, Kabankalan City, Negros Occidental",10.0217915,122.8219342,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,290.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Silay City,"Unit 8, Mallery Bldg., Jalandoni, brgy. Lantad, Silay City, Negros Occidental",PVT,SILAY KIDNEY AND DIALYSIS CENTER CORP. (NEW),12,"Dr. Ma. Estrella Ledesma, MBA",0960-8584941,skdcc.0728@gmail.com,"Dec. 1, 2021 to
Dec. 31, 2023",NaN,"Unit 8, Mallery Bldg., Jalandoni, brgy. Lantad, Silay City, Negros Occidental",10.8133787,122.9691183,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,291.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Talisay City,"Lot 6 Nlk. 3, Miramar Subd., Zone 15, Talisay City, Negros Occidental",PVT,HMOM MEDICAL SPECIALTY CENTER,22,Mr. Reynold Wong,"034-
4359362/912339
5867",hmom.msc@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Lot 6 Nlk. 3, Miramar Subd., Zone 15, Talisay City, Negros Occidental",10.7217397,122.9578517,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,292.0
WESTERN VISAYAS,NEGROS OCCIDENTAL,Victorias City,"Montinola St., Brgy. IV, Victorias City, Negros Occidental",PVT,VICTORIAS CITY HEALTH HEMODIALYSIS CENTER  (new),4,Dr. Richard P. Garlitos,082-227-4422,"082-227-4422/
dvobloodcenter@yahoo.com/victoriascityhealth@gmail.com","Nov. 18, 2021 to
Dec. 31, 2023",NaN,"Montinola St., Brgy. IV, Victorias City, Negros Occidental",10.9008814,123.0723728,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,293.0
CENTRAL VISAYAS,NaN,NaN,"Central Nautical Highway Jubay Liloan, Cebu",NaN,NEPHRO SPECIALIST OF LILOAN INCORPORATED  (new),NaN,Dr. Hariett Porsuelo-Torres,"0927-
5378901/410342
7",nephrospecialistofliloan@gmail.com,"Mar. 31, 2021 to
Dec. 31, 2023",NaN,"Central Nautical Highway Jubay Liloan, Cebu",10.4164301,123.997342,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,294.0
CENTRAL VISAYAS,Cebu,NaN,"Ward 1, Poblacion, Minglanilla, Cebu",PVT,SAN LUCAS MEDICAL,16,Dr. Alvin R. Arenajo,"032-2313898 /
0998-9672400",magarcia@sanlucasmedical.com,"Jan.1, 2022 to
Dec.31, 2024",from 10-16,"Ward 1, Poblacion, Minglanilla, Cebu",10.2445628,123.7980285,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,296.0
CENTRAL VISAYAS,CEBU,Cebu City,"3rd Floor EFG Bldg., Capitol Compound, Capitol Site, Cebu City, Cebu",PVT,CEBU CFI COMMUNITY COOPERATIVE,5,Dr. Rolland Matthew L. Escoben,032-2538103,info@cficoop.com/rheaescoben@gmail.com/jfveracruz@yahoo.com,"Mar. 13, 2020 to
Dec. 31, 2022",NaN,"3rd Floor EFG Bldg., Capitol Compound, Capitol Site, Cebu City, Cebu",10.317413,123.8911781,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,297.0
CENTRAL VISAYAS,CEBU,Cebu City,"G/F CKU Bldg., J.
Llorente St., Capitol Site, Cebu City",PVT,FRESENIUS KIDNEY CARE,11,"Dr. Alexander U. Tan, Jr.",032-255112,nephrocare.jllorente@fmc-asia.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"G/F CKU Bldg., J.
Llorente St., Capitol Site, Cebu City",10.3110072,123.8939863,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,298.0
CENTRAL VISAYAS,CEBU,Cebu City,"174 M.P. Yap St. Cor. M.
Roa St., Capitol, Cebu City",PVT,FRESENIUS KIDNEY CARE,14,Dr. Ophelia C. Buot,032-3452857,johneric.reyes@fmc-asia.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"174 M.P. Yap St. Cor. M.
Roa St., Capitol, Cebu City",10.3130353,123.8922213,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,299.0
CENTRAL VISAYAS,CEBU,Cebu City,"979 V. Rama Ave., Guadalupe, Cebu City",PVT,"METRO CEBU KIDNEY DIALYSIS CENTER, INC.",15,Dr. Karen Rosario Chan-Licuanan,"032-
2544715/402946
9",mck.dialysiscenter@yahoo.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"979 V. Rama Ave., Guadalupe, Cebu City",10.3175675,123.8853824,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,300.0
CENTRAL VISAYAS,CEBU,Cebu City,"366 Orchid St., Capitol Site, Cebu City",PVT,"NEPHRO SPECIALIST OF CEBU, INC.",11,Dt. John Li,"032-4154779 .
0917-3218321 /",nephrospecialist@yahoo.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"366 Orchid St., Capitol Site, Cebu City",10.3155688,123.8893327,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,301.0
CENTRAL VISAYAS,CEBU,Cebu City,"Gen. Maxillom Ave. cor.
S. Osme�a St., Cebu City",PVT,WEI RENAL CARE CLINIC,12,Dr. Alexander V. Tan,NaN,weirenalcenter@gmail.com,"May 20, 2020 to
Dec. 31, 2022",NaN,"Gen. Maxillom Ave. cor.
S. Osme�a St., Cebu City",10.3103063,123.8954044,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,302.0
CENTRAL VISAYAS,CEBU,Cebu City,"Gate 3 USC-Seminary School, Pope John Paul II Ave., Brgy. Luz, Cebu City",PVT,RICARDO CARDINAL VIDAL RENAL CENTER  (new),5,Dr. Hariett B. Porsuelo-Torres,"032-
2382103/099996
96102",Rcvdnurses@gmail.com,"Oct. 4, 2021 to
Dec. 31, 2023",NaN,"Gate 3 USC-Seminary School, Pope John Paul II Ave., Brgy. Luz, Cebu City",10.3201198,123.9111212,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,303.0
CENTRAL VISAYAS,CEBU,Cebu City,"11 Gov. M. Cuenco, Kasambagan, Cebu City, Cebu",PVT,"DIACARE DIALYSIS CENTER
(new)",15,"Dr. German M. Mayo, Jr.",032-3463044,diacaredialysiscenter@yahoo.com,"Dec. 3, 2021 to
Dec. 31, 2023",NaN,"11 Gov. M. Cuenco, Kasambagan, Cebu City, Cebu",10.3392413,123.9116057,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,304.0
CENTRAL VISAYAS,CEBU,Cebu City,"88 Gorordo Ave., Lahug, Cebu City",PVT,"STO. NI�O DIALYSIS CENTER, INC.",24,"Dr. German M. Mayo, Jr.","032-3190354 /
0917-7002072",sndci2016@gmail.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"88 Gorordo Ave., Lahug, Cebu City",10.316389,123.901301,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,305.0
CENTRAL VISAYAS,CEBU,Cebu City,"Unit 2, Upper Ground Floor, Leyte Loop, Cebu Business Park, Brgy.
Hipodromo, Cebu City,
Cebu",PVT,TDC THE DIALYSIS CO.,20,"Dr. Catherine Rose Ti, FPCP, FPSN",0917-6260909,lawrencego.thedialysisco@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Unit 2, Upper Ground Floor, Leyte Loop, Cebu Business Park, Brgy.
Hipodromo, Cebu City,
Cebu",10.3150566,123.9077644,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,306.0
CENTRAL VISAYAS,CEBU,Lapu-Lapu City,"Nephro Specialist of Mactan Building, Marigondon, Lapu-Lapu City, Cebu",PVT,"NEPHRO SPECIALIST OF MACTAN, INC.",12,Dr. Marc Evan P. Dominguez,"09063129022/
09176220009",nephro.nsmi@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Nephro Specialist of Mactan Building, Marigondon, Lapu-Lapu City, Cebu",10.2820908,123.9713313,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,307.0
CENTRAL VISAYAS,CEBU,Mandaue City,"Unit 102-106 G/F Arcada 5 HI-way, Tipolo, Mandaue City, Cebu",PVT,"NEPHROLOGY CENTER OF MANDAUE CITY DIALYSIS, INC.",15,DR. Minnie H. Monteclaro,032-3493998,nephro_mandaue@yahoo.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Unit 102-106 G/F Arcada 5 HI-way, Tipolo, Mandaue City, Cebu",10.3267885,123.9289226,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,308.0
CENTRAL VISAYAS,Cebu,"Naga City, Cebu","Vicente Mendiola Center for Health, Brgy. East, Poblacion, City of Naga, Cebu",PVT,"NEPHRO SYNERGIES, INC.",15,Dr. Julius John A. Serrano,032-3451784,nephrosynergiesnagacebu2018@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Vicente Mendiola Center for Health, Brgy. East, Poblacion, City of Naga, Cebu",10.2058885,123.7591077,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,309.0
CENTRAL VISAYAS,CEBU,Talisay City,"4th Floor, Building A, South Coast Center, South Cebu, National Highway, City of Talisay, Cebu",PVT,"CEBU KIDNEY DIALYSIS DOCTORS AND SPECIALIST, INC.",10,Dr. Julius John Serrano,032-2735156,krsco21@yahoo.com.ph,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"4th Floor, Building A, South Coast Center, South Cebu, National Highway, City of Talisay, Cebu",10.2580266,123.8177348,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,310.0
CENTRAL VISAYAS,NaN,NaN,"CPG, Brgy. Balintawak, Talibon, Bohol",NaN,BOHOL RENAL CARE AND DIAGNOSTIC CENTER  (new),NaN,NaN,"0995-4743977/
0927-1522139",boholrenalcare2921@gmail.com,"April 8, 2021 to
Dec. 31, 2023",NaN,"CPG, Brgy. Balintawak, Talibon, Bohol",10.1328452,124.3121495,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,311.0
CENTRAL VISAYAS,BOHOL,Tagbilaran City,"117 Miguel Parras St., Poblacion III, Tagbilaran City, Bohol",PVT,TAGCOM DIALYSIS CENTER CORPORATION,4,Dr. Iris I. Gonzales,"038-4112886/
4124815",tagcomhdu@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"117 Miguel Parras St., Poblacion III, Tagbilaran City, Bohol",9.6425749,123.8581437,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,313.0
CENTRAL VISAYAS,BOHOL,Tagbilaran City,"Lim Hong Kho Medical Arts & Wellness Center, 151 Celestino Gallares St., Brgy. Poblacion, Tagbilaran City, Bohol",PVT,TAN CHAY DUAN RENAL CENTER,15,Dr. Valerie Marie Sepe,0917-6570443,chayduanrc@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Lim Hong Kho Medical Arts & Wellness Center, 151 Celestino Gallares St., Brgy. Poblacion, Tagbilaran City, Bohol",9.6447498,123.8530335,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,314.0
CENTRAL VISAYAS,BOHOL,Tagbilaran City,"100-A CPG East Avenue, Poblacion 1, Tagbilaran City, Bohol",PVT,"CROSS RENAL HEALTH, INC.
(new)",11,Dr. Maricel B. Cabagnot,"0916-4503024 /
0918-6664310",NaN,"April 26, 2021 to
Dec. 31, 2023",NaN,"100-A CPG East Avenue, Poblacion 1, Tagbilaran City, Bohol",9.6381213,123.8602934,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,315.0
CENTRAL VISAYAS,BOHOL,Tagbilaran City,"0079 Benigno Aquino Ave., Brgy. Booy, Tagbilaran City, Bohol",PVT,"HEMOCARE DIALYSIS CENTER
(new)",10,Dr. Ronald B. Sales,0912-4302934,elijanalangan@gmail.com,"Sept. 24, 2021 to
Dec. 31, 2023",NaN,"0079 Benigno Aquino Ave., Brgy. Booy, Tagbilaran City, Bohol",9.656516,123.8524154,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,316.0
